Fp1[1],Fp2[2],F3[3],F4[4],C3[5],C4[6],P3[7],P4[8],O1[9],O2[10],F7[11],F8[12],T3[13],T4[14],T5[15],T6[16],Fz[17],Pz[18],Cz[19],Pg1[20],Pg2[21],EOGR[22],EOOGL[23],EMG[24]
-213.25396825396825,325.0,-211.34920634920633,-9.444444444444445,-214.04761904761904,325.0,-216.1111111111111,325.0,-217.2222222222222,-325.0,-221.19047619047618,-25.952380952380953,-219.28571428571428,110.71428571428571,-216.1111111111111,325.0,-231.98412698412696,325.0,-171.8253968253968,-325.0,-250.7142857142857,-3.73015873015873,-1.0317460317460316,-166.26984126984127
-213.25396825396825,325.0,-211.34920634920633,-9.444444444444445,-214.04761904761904,325.0,-216.1111111111111,325.0,-217.2222222222222,-325.0,-221.19047619047618,-25.952380952380953,-219.28571428571428,110.71428571428571,-216.1111111111111,325.0,-231.98412698412696,325.0,-171.8253968253968,-325.0,-250.7142857142857,-3.73015873015873,-1.0317460317460316,-166.26984126984127
-155.95238095238093,325.0,-157.53968253968253,-19.126984126984127,-158.015873015873,325.0,-158.4920634920635,325.0,-158.33333333333331,-325.0,-162.14285714285714,-32.14285714285714,-153.88888888888889,106.74603174603175,-157.38095238095238,325.0,-162.93650793650792,325.0,-158.015873015873,-325.0,-226.42857142857142,2.7777777777777777,-0.07936507936507936,-166.26984126984127
-155.95238095238093,325.0,-157.53968253968253,-19.126984126984127,-158.015873015873,325.0,-158.4920634920635,325.0,-158.33333333333331,-325.0,-162.14285714285714,-32.14285714285714,-153.88888888888889,106.74603174603175,-157.38095238095238,325.0,-162.93650793650792,325.0,-158.015873015873,-325.0,-226.42857142857142,2.7777777777777777,-0.07936507936507936,-166.26984126984127
-166.11111111111111,325.0,-166.26984126984127,-10.238095238095237,-167.85714285714286,325.0,-168.33333333333331,325.0,-168.65079365079364,-325.0,-171.66666666666666,-18.174603174603174,-167.69841269841268,100.23809523809523,-167.85714285714286,325.0,-172.93650793650792,325.0,-112.6190476190476,-325.0,-163.88888888888889,-0.5555555555555556,-0.07936507936507936,-166.26984126984127
-166.11111111111111,325.0,-166.26984126984127,-10.238095238095237,-167.85714285714286,325.0,-168.33333333333331,325.0,-168.65079365079364,-325.0,-171.66666666666666,-18.174603174603174,-167.69841269841268,100.23809523809523,-167.85714285714286,325.0,-172.93650793650792,325.0,-112.6190476190476,-325.0,-163.88888888888889,-0.5555555555555556,-0.07936507936507936,-166.26984126984127
-170.7142857142857,325.0,-170.55555555555554,-6.904761904761904,-171.984126984127,325.0,-173.25396825396825,325.0,-173.25396825396825,-325.0,-175.47619047619045,-11.19047619047619,-171.19047619047618,94.52380952380952,-171.8253968253968,325.0,-174.36507936507937,325.0,-78.65079365079364,-325.0,-117.85714285714285,-2.619047619047619,0.23809523809523808,-166.26984126984127
-170.7142857142857,325.0,-170.55555555555554,-6.904761904761904,-171.984126984127,325.0,-173.25396825396825,325.0,-173.25396825396825,-325.0,-175.47619047619045,-11.19047619047619,-171.19047619047618,94.52380952380952,-171.8253968253968,325.0,-174.36507936507937,325.0,-78.65079365079364,-325.0,-117.85714285714285,-2.619047619047619,0.23809523809523808,-166.26984126984127
-168.4920634920635,325.0,-167.06349206349205,-10.238095238095237,-170.55555555555554,325.0,-171.66666666666666,325.0,-173.25396825396825,-325.0,-175.3174603174603,-12.936507936507935,-172.77777777777777,92.77777777777777,-172.46031746031744,325.0,-177.2222222222222,325.0,-73.57142857142857,-325.0,-110.07936507936508,0.23809523809523808,-1.8253968253968254,-166.26984126984127
-168.4920634920635,325.0,-167.06349206349205,-10.238095238095237,-170.55555555555554,325.0,-171.66666666666666,325.0,-173.25396825396825,-325.0,-175.3174603174603,-12.936507936507935,-172.77777777777777,92.77777777777777,-172.46031746031744,325.0,-177.2222222222222,325.0,-73.57142857142857,-325.0,-110.07936507936508,0.23809523809523808,-1.8253968253968254,-166.26984126984127
